p,T,F,R,h,s,u,v
1.00000e+05,2.75000e+02,0.00000e+00,2.86960e+02,2.74823e+05,5.29231e+03,1.95909e+05,7.89140e-01 
1.00000e+05,2.75000e+02,1.00000e-01,2.86990e+02,2.75679e+05,5.61746e+03,1.96757e+05,7.89221e-01 
1.00000e+05,2.75000e+02,2.00000e-01,2.87018e+02,2.76524e+05,5.90078e+03,1.97594e+05,7.89299e-01 
1.00000e+05,2.75000e+02,3.00000e-01,2.87045e+02,2.77358e+05,6.14395e+03,1.98420e+05,7.89374e-01 
1.00000e+05,2.75000e+02,4.00000e-01,2.87071e+02,2.78180e+05,6.34857e+03,1.99235e+05,7.89447e-01 
1.00000e+05,2.75000e+02,5.00000e-01,2.87097e+02,2.78990e+05,6.51619e+03,2.00039e+05,7.89516e-01 
1.00000e+05,2.75000e+02,6.00000e-01,2.87121e+02,2.79790e+05,6.64830e+03,2.00832e+05,7.89582e-01 
1.00000e+05,2.75000e+02,7.00000e-01,2.87144e+02,2.80579e+05,6.74630e+03,2.01615e+05,7.89646e-01 
1.00000e+05,2.75000e+02,8.00000e-01,2.87166e+02,2.81358e+05,6.81158e+03,2.02387e+05,7.89708e-01 
1.00000e+05,2.75000e+02,9.00000e-01,2.87188e+02,2.82127e+05,6.84543e+03,2.03150e+05,7.89766e-01 
1.00000e+05,2.75000e+02,1.00000e+00,2.87208e+02,2.82885e+05,6.84910e+03,2.03903e+05,7.89822e-01 
1.00000e+05,2.75000e+02,1.10000e+00,2.87228e+02,2.83633e+05,6.82382e+03,2.04646e+05,7.89876e-01 
1.00000e+05,2.75000e+02,1.20000e+00,2.87246e+02,2.84372e+05,6.77073e+03,2.05379e+05,7.89927e-01 
1.00000e+05,3.75000e+02,0.00000e+00,2.87159e+02,3.75798e+05,5.60516e+03,2.68113e+05,1.07685e+00 
1.00000e+05,3.75000e+02,1.00000e-01,2.87209e+02,3.77308e+05,5.93237e+03,2.69605e+05,1.07703e+00 
1.00000e+05,3.75000e+02,2.00000e-01,2.87258e+02,3.78799e+05,6.21773e+03,2.71077e+05,1.07722e+00 
1.00000e+05,3.75000e+02,3.00000e-01,2.87305e+02,3.80270e+05,6.46291e+03,2.72530e+05,1.07740e+00 
1.00000e+05,3.75000e+02,4.00000e-01,2.87352e+02,3.81721e+05,6.66952e+03,2.73964e+05,1.07757e+00 
1.00000e+05,3.75000e+02,5.00000e-01,2.87399e+02,3.83154e+05,6.83911e+03,2.75380e+05,1.07775e+00 
1.00000e+05,3.75000e+02,6.00000e-01,2.87444e+02,3.84569e+05,6.97315e+03,2.76777e+05,1.07792e+00 
1.00000e+05,3.75000e+02,7.00000e-01,2.87489e+02,3.85965e+05,7.07307e+03,2.78157e+05,1.07808e+00 
1.00000e+05,3.75000e+02,8.00000e-01,2.87533e+02,3.87343e+05,7.14024e+03,2.79519e+05,1.07825e+00 
1.00000e+05,3.75000e+02,9.00000e-01,2.87576e+02,3.88705e+05,7.17596e+03,2.80864e+05,1.07841e+00 
1.00000e+05,3.75000e+02,1.00000e+00,2.87618e+02,3.90049e+05,7.18149e+03,2.82192e+05,1.07857e+00 
1.00000e+05,3.75000e+02,1.10000e+00,2.87660e+02,3.91376e+05,7.15803e+03,2.83503e+05,1.07873e+00 
1.00000e+05,3.75000e+02,1.20000e+00,2.87701e+02,3.92687e+05,7.10675e+03,2.84799e+05,1.07888e+00 
1.00000e+05,4.75000e+02,0.00000e+00,2.87221e+02,4.78066e+05,5.84690e+03,3.41636e+05,1.36430e+00 
